"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Key AI/ML Methods and Approaches","Data Modalities and Sources","Challenges and Limitations"
"Leveraging multimodal deep learning architecture with retina lesion information to detect diabetic retinopathy","https://scispace.com/paper/leveraging-multimodal-deep-learning-architecture-with-retina-2g28c21pen","2020","Journal Article","Translational Vision Science & Technology","Vincent S. Tseng
Ching Long Chen
Chang Min Liang
Ming Cheng Tai
Jung Tzu Liu
Po Yi Wu
Ming Shan Deng
Ya Wen Lee
Teng Yi Huang
Yi-Hao Chen","10.1167/TVST.9.2.41","","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses retinal lesion detection and severity classification to improve DR grading; proposes late and early fusion architectures, but focuses on a single method rather than a broad multimodal diabetes review.","Purpose To improve disease severity classification from fundus images using a hybrid architecture with symptom awareness for diabetic retinopathy (DR). Methods We used 26,699 fundus images of 17,834 diabetic patients from three Taiwanese hospitals collected in 2007 to 2018 for DR severity classification. Thirty-seven ophthalmologists verified the images using lesion annotation and severity classification as the ground truth. Two deep learning fusion architectures were proposed: late fusion, which combines lesion and severity classification models in parallel using a postprocessing procedure, and two-stage early fusion, which combines lesion detection and classification models sequentially and mimics the decision-making process of ophthalmologists. Messidor-2 was used with 1748 images to evaluate and benchmark the performance of the architecture. The primary evaluation metrics were classification accuracy, weighted κ statistic, and area under the receiver operating characteristic curve (AUC). Results For hospital data, a hybrid architecture achieved a good detection rate, with accuracy and weighted κ of 84.29% and 84.01%, respectively, for five-class DR grading. It also classified the images of early stage DR more accurately than conventional algorithms. The Messidor-2 model achieved an AUC of 97.09% in referral DR detection compared to AUC of 85% to 99% for state-of-the-art algorithms that learned from a larger database. Conclusions Our hybrid architectures strengthened and extracted characteristics from DR images, while improving the performance of DR grading, thereby increasing the robustness and confidence of the architectures for general use. Translational Relevance The proposed fusion architectures can enable faster and more accurate diagnosis of various DR pathologies than that obtained in current manual clinical practice.","","",""
"Unlocking the Potential of Artificial Intelligence (AI) for Healthcare","https://scispace.com/paper/unlocking-the-potential-of-artificial-intelligence-ai-for-2lt76q7u","2023","Journal Article","Artificial intelligence","","10.5772/intechopen.111489","https://scispace.com/pdf/unlocking-the-potential-of-artificial-intelligence-ai-for-2lt76q7u.pdf","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses AI to predict diabetes risk and monitor glucose via wearables and CGM, but lacks a systematic review, multimodal fusion, retinal imaging, bias analysis, deployment guidance, or dataset taxonomy.","This book chapter examines the potential of artificial intelligence (AI) to improve healthcare. AI has become increasingly prominent in healthcare, providing the capability to automate tasks, analyze large patient data sets, and deliver quicker and more cost-effective healthcare. We focus on its various applications in healthcare including vital sign monitoring, glycemic control, radiology, and emergency room triage with point of care ultrasound (POCUS). We also address Ai’s ethical, legal, and privacy implications in healthcare such as data protection and safeguarding patient privacy. Finally, we explore the potential of AI in healthcare improvement in the future and investigate the current trends, opportunities, and evolving threats posed by AI in healthcare, as well as its implications for human-AI interfacing and job security. This book chapter provides an essential and comprehensive overview of the potential of AI in healthcare, providing a valuable resource for healthcare professionals and researchers in the field. ","","",""
"The Virtual Doctor: An Interactive Artificial Intelligence based on Deep Learning for Non-Invasive Prediction of Diabetes","https://scispace.com/paper/http://arxiv.org/abs/1903.12069v1","2019","Preprint","","Sebastian Spänig
Agnes Emberger-Klein
Jan-Peter Sowa
Ali Canbay
Klaus Menrad
Dominik Heider","10.1016/j.artmed.2019.101706","https://arxiv.org/pdf/1903.12069v1","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses speech‑enabled AI to predict diabetes non‑invasively; focuses on a single prototype rather than a review. Mentions rural deployment and AI acceptance, touching on low‑resource and democratization aspects, but lacks coverage of wearables, CGM, imaging, multimodal fusion, robustness, bias, taxonomy, or benchmarks.","Artificial intelligence (AI) will pave the way to a new era in medicine. However, currently available AI systems do not interact with a patient, e.g., for anamnesis, and thus are only used by the physicians for predictions in diagnosis or prognosis. However, these systems are widely used, e.g., in diabetes or cancer prediction. In the current study, we developed an AI that is able to interact with a patient (virtual doctor) by using a speech recognition and speech synthesis system and thus can autonomously interact with the patient, which is particularly important for, e.g., rural areas, where the availability of primary medical care is strongly limited by low population densities. As a proof-of-concept, the system is able to predict type 2 diabetes mellitus (T2DM) based on non-invasive sensors and deep neural networks. Moreover, the system provides an easy-to-interpret probability estimation for T2DM for a given patient. Besides the development of the AI, we further analyzed the acceptance of young people for AI in healthcare to estimate the impact of such system in the future.","","",""
"Glucose Transformer: Forecasting Glucose Level and Events of Hyperglycemia and Hypoglycemia","https://scispace.com/paper/glucose-transformer-forecasting-glucose-level-and-events-of-29cm3ubu","2023","Journal Article","IEEE Journal of Biomedical and Health Informatics","","10.1109/jbhi.2023.3236822","","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses Transformer to forecast CGM and detect hypo/hyperglycemia; includes data augmentation and transfer learning, but focuses on a single method, lacks multimodal review, wearables, imaging, bias, deployment, taxonomy, or dataset benchmarks.","To avoid the adverse consequences from abrupt increases in blood glucose, diabetic inpatients should be closely monitored. Using blood glucose data from type 2 diabetes patients, we propose a deep learning model-based framework to forecast blood glucose levels. We used continuous glucose monitoring (CGM) data collected from inpatients with type 2 diabetes for a week. We adopted the Transformer model, commonly used in sequence data, to forecast the blood glucose level over time and detect hyperglycemia and hypoglycemia in advance. We expected the attention mechanism in Transformer to reveal a hint of hyperglycemia and hypoglycemia, and performed a comparative study to determine whether Transformer was effective in the classification and regression of glucose. Hyperglycemia and hypoglycemia rarely occur and this results in an imbalance in the classification. We built a data augmentation model using the generative adversarial network. Our contributions are as follows. First, we developed a deep learning framework utilizing the encoder part of Transformer to perform the regression and classification under a unified framework. Second, we adopted a data augmentation model using the generative adversarial network suitable for time-series data to solve the data imbalance problem and to improve performance. Third, we collected data for type 2 diabetic inpatients for mid-time. Finally, we incorporated transfer learning to improve the performance of regression and classification. ","","",""
"Artificial Intelligence for Diabetes Care during Ramadan Fasting: A Narrative Review","https://scispace.com/paper/artificial-intelligence-for-diabetes-care-during-ramadan-bgjhgp3ejok2","2025","Journal Article","Journal of diabetes and endocrine practice","Salem Beshyah","10.1055/s-0045-1811513","","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses AI for Ramadan fasting management, mentions real‑time glucose monitoring and closed‑loop systems, but lacks broad multimodal coverage, fusion methods, bias analysis, or dataset resources.","Abstract Ramadan fasting poses unique challenges for individuals with diabetes, particularly regarding glycemic control and hypoglycemia risk. Artificial intelligence (AI) technologies are emerging as tools to support safe and individualized diabetes management during fasting. To explore the current and potential roles of AI in diabetes care during Ramadan, with a focus on clinical applications, patient outcomes, provider training, and barriers to adoption. AI is integrated into diabetes care through automated insulin delivery systems and machine learning–based risk prediction models. These tools support real-time glucose monitoring, hypoglycemia prevention, and personalized care, especially for high-risk groups. Type 1 diabetes patients benefit from closed-loop systems, whereas type 2 diabetes patients primarily use AI for predictive analytics. Regional resources, digital literacy, cultural perceptions, and provider training influence adoption. Barriers include cost, regulatory gaps, and algorithmic limitations in diverse populations. AI technologies hold promises for enhancing safety and glycemic outcomes for individuals with diabetes during Ramadan. Their optimal use depends on context-specific strategies, including culturally sensitive education, equitable access, and comprehensive training for providers. Further validation and customization of AI tools for fasting populations are necessary to support the widespread and effective implementation of these tools. ","","",""
"Deep learning innovations in diagnosing diabetic retinopathy: The potential of transfer learning and the DiaCNN model","https://scispace.com/paper/deep-learning-innovations-in-diagnosing-diabetic-retinopathy-46f7gpxzoo","2023","Journal Article","Computers in Biology and Medicine","Mohamed R. Shoaib
Heba M. Emara
Jun Zhao
Walid El-Shafai
Naglaa F. Soliman
Ahmed S. A. Mubarak
Osama A. Omer
Fathi E. Abd El-Samie
Hamada Esmaiel","10.1016/j.compbiomed.2023.107834","https://arxiv.org/pdf/2401.13990","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses transfer learning on retinal images for DR classification; presents a new model (DiaCNN) and reports high accuracy, but does not review multimodal diabetes data, wearable/CGM data, or broader AI/ML challenges. Mentions transfer learning, touching on generalization, yet lacks discussion of bias, deployment, or democratization.","Diabetic retinopathy (DR) is a significant cause of vision impairment, emphasizing the critical need for early detection and timely intervention to avert visual deterioration. Diagnosing DR is inherently complex, as it necessitates the meticulous examination of intricate retinal images by experienced specialists. This makes the early diagnosis of DR essential for effective treatment and prevention of eventual blindness. Traditional diagnostic methods, relying on human interpretation of medical images, face challenges in terms of accuracy and efficiency. In the present research, we introduce a novel method that offers superior precision in DR diagnosis, compared to traditional methods, by employing advanced deep learning techniques. Central to this approach is the concept of transfer learning. This entails the utilization of pre-existing, well-established models, specifically InceptionResNetv2 and Inceptionv3, to extract features and fine-tune selected layers to cater to the unique requirements of this specific diagnostic task. Concurrently, we also present a newly devised model, DiaCNN, which is tailored for the classification of eye diseases. To prove the efficacy of the proposed methodology, we leveraged the Ocular Disease Intelligent Recognition (ODIR) dataset, which comprises eight different eye disease categories. The results are promising. The InceptionResNetv2 model, incorporating transfer learning, registered an impressive 97.5% accuracy in both the training and testing phases. Its counterpart, the Inceptionv3 model, achieved an even more commendable 99.7% accuracy during training, and 97.5% during testing. Remarkably, the DiaCNN model showcased unparalleled precision, achieving 100% accuracy in training and 98.3% in testing. These figures represent a significant leap in classification accuracy when juxtaposed with existing state-of-the-art diagnostic methods. Such advancements hold immense promise for the future, emphasizing the potential of our proposed technique to revolutionize the accuracy of DR and other eye disease diagnoses. By facilitating earlier detection and more timely interventions, this approach stands poised to significantly reduce the incidence of blindness associated with DR, thus heralding a new era of improved patient outcomes. Therefore, this work, through its novel approach and stellar results, not only pushes the boundaries of DR diagnostic accuracy but also promises a transformative impact in early detection and intervention, aiming to substantially diminish DR-induced blindness and champion enhanced patient care. ","","",""
"Single-modality and joint fusion deep learning for diabetic retinopathy diagnosis","https://scispace.com/paper/single-modality-and-joint-fusion-deep-learning-for-diabetic-src2d9mq","2022","Journal Article","Scientific African","Sara El-Ateif
Ali Idri","10.1016/j.sciaf.2022.e01280","","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses retinal images to classify diabetic retinopathy and compares single‑modality vs. joint‑fusion models; limited to imaging, no broader multimodal review or discussion of wearables, CGM, fairness, deployment, or datasets.","","","",""
"An automated diabetic retinopathy disorders detection model based on pretrained MobileNetv2 and nested patch division using fundus images","https://scispace.com/paper/an-automated-diabetic-retinopathy-disorders-detection-model-2hxzv138","2022","Journal Article","Journal of health sciences and medicine","","10.32322/jhsm.1184981","https://scispace.com/pdf/an-automated-diabetic-retinopathy-disorders-detection-model-2hxzv138.pdf","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses MobileNetv2 to detect diabetic retinopathy from fundus images; focuses on a single method, not a review, and lacks broader multimodal or deployment discussions.","Aim: Fundus images are very important to diagnose some ophthalmologic disorders. Hence, fundus images have become a very important data source for machine-learning society. Our primary goal is to propose a new automated disorder classification model for diabetic retinopathy (DR) using the strength of deep learning. In this model, our proposed model suggests a treatment technique using fundus images. Material and Method: In this research, a new dataset was acquired and this dataset contains 1365 Fundus Fluorescein Angiography images with five classes. To detect these disorders automatically, we proposed a transfer learning-based feature engineering model. This feature engineering model uses pretrained MobileNetv2 and nested patch division to extract deep and exemplar features. The neighborhood component analysis (NCA) feature selection function has been applied to choose the top features. k nearest neighbors (kNN) classification function has been used to get results and we used 10-fold cross-validation (CV) to validate the results. Results: The proposed MobileNetv2 and nested patch-based image classification model attained 87.40% classification accuracy on the collected dataset. Conclusions: The calculated 87.40% classification accuracy for five classes has been demonstrated high classification accuracy of the proposed deep feature engineering model ","","",""
"Evaluation of Transfer Learning for Classification of: (1) Diabetic Retinopathy by Digital Fundus Photography and (2) Diabetic Macular Edema, Choroidal Neovascularization and Drusen by Optical Coherence Tomography","https://scispace.com/paper/http://arxiv.org/abs/1902.04151v1","2019","Preprint","","Rony Gelman","","https://arxiv.org/pdf/1902.04151v1","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses transfer learning to classify diabetic retinopathy and OCT lesions, offering performance results but lacking a review scope, multimodal coverage, or broader AI/ML challenges.","Deep learning has been successfully applied to a variety of image classification tasks. There has been keen interest to apply deep learning in the medical domain, particularly specialties that heavily utilize imaging, such as ophthalmology. One issue that may hinder application of deep learning to the medical domain is the vast amount of data necessary to train deep neural networks (DNNs). Because of regulatory and privacy issues associated with medicine, and the generally proprietary nature of data in medical domains, obtaining large datasets to train DNNs is a challenge, particularly in the ophthalmology domain.
  Transfer learning is a technique developed to address the issue of applying DNNs for domains with limited data. Prior reports on transfer learning have examined custom networks to fully train or used a particular DNN for transfer learning. However, to the best of my knowledge, no work has systematically examined a suite of DNNs for transfer learning for classification of diabetic retinopathy, diabetic macular edema, and two key features of age-related macular degeneration. This work attempts to investigate transfer learning for classification of these ophthalmic conditions. Part I gives a condensed overview of neural networks and the DNNs under evaluation. Part II gives the reader the necessary background concerning diabetic retinopathy and prior work on classification using retinal fundus photographs. The methodology and results of transfer learning for diabetic retinopathy classification are presented, showing that transfer learning towards this domain is feasible, with promising accuracy. Part III gives an overview of diabetic macular edema, choroidal neovascularization and drusen (features associated with age-related macular degeneration), and presents results for transfer learning evaluation using optical coherence tomography to classify these entities.","","",""
"Machine Learning Approaches for Type 2 Diabetes Prediction and Care Management","https://scispace.com/paper/http://arxiv.org/abs/2104.07820v2","2021","Preprint","","Aloysius Lim
Ashish Singh
Jody Chiam
Carly Eckert
Vikas Kumar
Muhammad Aurangzeb Ahmad
Ankur Teredesai","","https://arxiv.org/pdf/2104.07820v2","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Presents a proprietary ML framework and deployment experience, not a survey. Mentions real‑world deployment and alignment with physician workflow, but lacks broad multimodal review, sensor/CGM/ imaging coverage, and systematic challenge taxonomy.","Prediction of diabetes and its various complications has been studied in a number of settings, but a comprehensive overview of problem setting for diabetes prediction and care management has not been addressed in the literature. In this document we seek to remedy this omission in literature with an encompassing overview of diabetes complication prediction as well as situating this problem in the context of real world healthcare management. We illustrate various problems encountered in real world clinical scenarios via our own experience with building and deploying such models. In this manuscript we illustrate a Machine Learning (ML) framework for addressing the problem of predicting Type 2 Diabetes Mellitus (T2DM) together with a solution for risk stratification, intervention and management. These ML models align with how physicians think about disease management and mitigation, which comprises these four steps: Identify, Stratify, Engage, Measure.","","",""
"Machine Learning Prediction of Cardiovascular Risk in Type 1 Diabetes Mellitus Using Radiomics Features from Multimodal Retinal Images","https://scispace.com/paper/machine-learning-prediction-of-cardiovascular-risk-in-type-1-akgcqmg5r2by","2025","Journal Article","Ophthalmology science","Ariadna Toha-Dalmau
Josep Rosin'es-Fonoll
Enrique Romero
F. Mazzanti
Ruben Martín-Pinardel
Sonia Marias-Perez
Carolina Bernal-Morales
Rafael Castro-Domínguez
Andrea Mendez
Emilio Ortega
Irene Vinagre
Marga Giménez
Alfredo Vellido
Javier Zarranz-Ventura","10.48550/arxiv.2504.02868","https://scispace.compdf/machine-learning-prediction-of-cardiovascular-risk-in-type-1-akgcqmg5r2by.pdf","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses retinal radiomics and ML to predict cardiovascular risk in T1DM; includes multimodal imaging fusion but lacks review scope, wearable/CGM data, bias analysis, deployment discussion, or broader AI democratization context.","Purpose To develop a machine learning (ML) algorithm capable of determining cardiovascular (CV) risk in multimodal retinal images from patients with type 1 diabetes mellitus (T1DM), distinguishing between moderate, high, and very high-risk levels. Design Cross-sectional analysis of a retinal image data set from a previous prospective OCT angiography (OCTA) study (ClinicalTrials.gov NCT03422965). Participants Patients with T1DM included in the progenitor study. Methods Radiomic features were extracted from color fundus photographs (CFPs), OCT, and OCTA images, and ML models were trained using these features either individually or combined with clinical data (demographics and systemic data, OCT + OCTA commercial software metrics, ocular data, blood data). Different data combinations were tested to determine the CV risk stages, defined according to international classifications. Main Outcome Measures Area under the receiver operating characteristic curve mean and standard deviation for each ML model and each data combination. Results A data set of 597 eyes (359 individuals) was analyzed. Models trained only with the radiomic features achieved area under the curve (AUC) values of (0.79 ± 0.03) to identify moderate risk cases from high and very high-risk cases, and (0.73 ± 0.07) for distinguishing between high and very high-risk cases. The addition of clinical variables improved all AUC values, obtaining (0.99 ± 0.01) for identifying moderate cases, and (0.95 ± 0.02) for differentiating between high and very high-risk cases. For very high CV risk, radiomics combined with OCT + OCTA metrics and ocular data achieved an AUC of (0.89 ± 0.02) without systemic data input. The performance of the models was similar in unilateral and bilateral eye image data sets. Conclusions Radiomic features obtained from retinal images are helpful to discriminate and classify CV risk labels, differentiating risk categories. The addition of demographics and systemic data combined with ocular data differentiate high from very high CV risk cases, and interestingly OCT + OCTA metrics with ocular data identify very high CV risk cases without systemic data input. These results reflect the potential of this oculomics approach for CV risk assessment. Financial Disclosure(s) Proprietary or commercial disclosure may be found in the Footnotes and Disclosures at the end of this article.","","",""
"Diagnostic accuracy of community-based diabetic retinopathy screening with an offline artificial intelligence system on a smartphone","https://scispace.com/paper/diagnostic-accuracy-of-community-based-diabetic-retinopathy-4westqmnda","2019","Journal Article","JAMA Ophthalmology","Sundaram Natarajan
Astha Jain
Radhika Krishnan
Ashwini Rogye
Sobha Sivaprasad","10.1001/JAMAOPHTHALMOL.2019.2923","https://jamanetwork.com/journals/jamaophthalmology/articlepdf/2747315/jamaophthalmology_natarajan_2019_oi_190055.pdf","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses offline AI on smartphone fundus images to detect referable diabetic retinopathy, showing high sensitivity; touches on low‑resource screening but lacks review, multimodal, or broader AI/ML challenge discussion.","Importance Offline automated analysis of retinal images on a smartphone may be a cost-effective and scalable method of screening for diabetic retinopathy; however, to our knowledge, assessment of such an artificial intelligence (AI) system is lacking. Objective To evaluate the performance of Medios AI (Remidio), a proprietary, offline, smartphone-based, automated system of analysis of retinal images, to detect referable diabetic retinopathy (RDR) in images taken by a minimally trained health care worker with Remidio Non-Mydriatic Fundus on Phone, a smartphone-based, nonmydriatic retinal camera. Referable diabetic retinopathy is defined as any retinopathy more severe than mild diabetic retinopathy, with or without diabetic macular edema. Design, Setting, and Participants This prospective, cross-sectional, population-based study took place from August 2018 to September 2018. Patients with diabetes mellitus who visited various dispensaries administered by the Municipal Corporation of Greater Mumbai in Mumbai, India, on a particular day were included. Interventions Three fields of the fundus (the posterior pole, nasal, and temporal fields) were photographed. The images were analyzed by an ophthalmologist and the AI system. Main Outcomes and Measures To evaluate the sensitivity and specificity of the offline automated analysis system in detecting referable diabetic retinopathy on images taken on the smartphone-based, nonmydriatic retinal imaging system by a health worker. Results Of 255 patients seen in the dispensaries, 231 patients (90.6%) consented to diabetic retinopathy screening. The major reasons for not participating were unwillingness to wait for screening and the blurring of vision that would occur after dilation. Images from 18 patients were deemed ungradable by the ophthalmologist and hence were excluded. In the remaining participants (110 female patients [51.6%] and 103 male patients [48.4%]; mean [SD] age, 53.1 [10.3] years), the sensitivity and specificity of the offline AI system in diagnosing referable diabetic retinopathy were 100.0% (95% CI, 78.2%-100.0%) and 88.4% (95% CI, 83.2%-92.5%), respectively, and in diagnosing any diabetic retinopathy were 85.2% (95% CI, 66.3%-95.8%) and 92.0% (95% CI, 97.1%-95.4%), respectively, compared with ophthalmologist grading using the same images. Conclusions and Relevance These pilot study results show promise in the use of an offline AI system in community screening for referable diabetic retinopathy with a smartphone-based fundus camera. The use of AI would enable screening for referable diabetic retinopathy in remote areas where services of an ophthalmologist are unavailable. This study was done on patients with diabetes who were visiting a dispensary that provides curative services to the population at the primary level. A study with a larger sample size may be needed to extend the results to general population screening, however.","","",""
"Looking into Concept Explanation Methods for Diabetic Retinopathy Classification","https://scispace.com/paper/http://arxiv.org/abs/2410.03188v1","2024","Preprint","","Andrea M. Storås
Josefine V. Sundgaard","10.59275/j.melba.2024-e7fd","https://arxiv.org/pdf/2410.03188v1","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses concept activation vectors and bottleneck models to explain DR classifiers; offers interpretability insight but lacks broader multimodal review, wearable/CGM coverage, fusion, robustness, bias analysis, deployment, or dataset taxonomy.","Diabetic retinopathy is a common complication of diabetes, and monitoring the progression of retinal abnormalities using fundus imaging is crucial. Because the images must be interpreted by a medical expert, it is infeasible to screen all individuals with diabetes for diabetic retinopathy. Deep learning has shown impressive results for automatic analysis and grading of fundus images. One drawback is, however, the lack of interpretability, which hampers the implementation of such systems in the clinic. Explainable artificial intelligence methods can be applied to explain the deep neural networks. Explanations based on concepts have shown to be intuitive for humans to understand, but have not yet been explored in detail for diabetic retinopathy grading. This work investigates and compares two concept-based explanation techniques for explaining deep neural networks developed for automatic diagnosis of diabetic retinopathy: Quantitative Testing with Concept Activation Vectors and Concept Bottleneck Models. We found that both methods have strengths and weaknesses, and choice of method should take the available data and the end user's preferences into account.","","",""
"Cross-Fundus Transformer for Multi-modal Diabetic Retinopathy Grading with Cataract","https://scispace.com/paper/http://arxiv.org/abs/2411.00726v1","2024","Preprint","","Fan Xiao
Junlin Hou
Ruiwei Zhao
Rui Feng
Haidong Zou
Lina Lu
Yi Xu
Juzhao Zhang","","https://arxiv.org/pdf/2411.00726v1","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses cross-modality transformer to fuse CFP and IFP for DR grading; introduces attention module and dual‑stream ViT, but focuses on a single novel method rather than a broad review or other diabetes data modalities.","Diabetic retinopathy (DR) is a leading cause of blindness worldwide and a common complication of diabetes. As two different imaging tools for DR grading, color fundus photography (CFP) and infrared fundus photography (IFP) are highly-correlated and complementary in clinical applications. To the best of our knowledge, this is the first study that explores a novel multi-modal deep learning framework to fuse the information from CFP and IFP towards more accurate DR grading. Specifically, we construct a dual-stream architecture Cross-Fundus Transformer (CFT) to fuse the ViT-based features of two fundus image modalities. In particular, a meticulously engineered Cross-Fundus Attention (CFA) module is introduced to capture the correspondence between CFP and IFP images. Moreover, we adopt both the single-modality and multi-modality supervisions to maximize the overall performance for DR grading. Extensive experiments on a clinical dataset consisting of 1,713 pairs of multi-modal fundus images demonstrate the superiority of our proposed method. Our code will be released for public access.","","",""
"Hemorrhage Segmentation in Fundus Images Using the U-Net 3+ Model: Performance Comparison Across Retinal Regions.","https://scispace.com/paper/41565928","2026","Journal Article","Journal of imaging informatics in medicine","Kang
Kim
Kim","10.1007/s10278-025-01837-4","","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses U‑Net3+ for hemorrhage segmentation in fundus images; focuses on a single method and performance across retinal regions, not a multimodal diabetes review. Mentions retinal imaging and model accuracy, touching on generalization, but lacks broader sensor, CGM, fusion, bias, deployment, or democratization discussions.","Diabetic retinopathy (DR) is one of the most common complications of diabetes, and timely detection of retinal hemorrhages is essential for preventing vision loss. This study evaluates the U-Net3 + model for pixel-level hemorrhage segmentation in fundus images and examines its performance across clinically meaningful retinal regions. Model performance was assessed using accuracy, sensitivity, specificity, and Dice score and further analyzed across perivascular and extravascular areas, perifoveal and extrafoveal regions, fovea-centered quadrants, and images stratified by hemorrhage burden. U-Net3 + achieved strong overall performance, with 99.93% accuracy, 87.03% sensitivity, 99.97% specificity, and an 85.02% Dice score. Higher segmentation accuracy was observed in extravascular regions and within the foveal area, while quadrant-wise performance remained largely consistent. Images with greater hemorrhage burden demonstrated higher segmentation reliability. These findings highlight the importance of region-aware evaluation and suggest that U-Net3 + can provide clinically meaningful support for automated DR screening. Further validation using larger and multi-center datasets is required to enhance the model's generalizability for real-world clinical deployment.","","",""
"Hyperglycemia in Critically Ill Patients: Current Approaches and Management Strategies.","https://scispace.com/paper/41482394","2026","Journal Article","In vivo (Athens, Greece)","Daina
Vesa
Ghitea
Iova
Bonțea
László
Daina","10.21873/invivo.14223","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12764272/pdf","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses AI‑enhanced biosensors and mentions CGM monitoring, but focuses on clinical management of hyperglycemia rather than a multimodal AI/ML survey; lacks coverage of wearables, imaging, fusion methods, fairness, deployment, taxonomy, or datasets.","Hyperglycemia is frequently encountered in critically ill patients and is associated with adverse outcomes, including increased morbidity and mortality. It may be pre-existing due to diabetes mellitus or develop during hospitalization as stress hyperglycemia. This review aims to raise awareness among medical staff regarding the implications of hyperglycemia in critically ill patients, its pathophysiology, monitoring techniques, and current treatment protocols. Therefore, evidence from the international literature is analyzed, with specialized journals serving as reference points, focusing on the impact of glycemic variability, individualized patient management, and emerging technologies such as artificial intelligence-driven biosensors for glucose monitoring. Hyperglycemia is defined as a blood glucose level exceeding 7.0 mmol/l (125 mg/dl) before admission or surpassing 10.0 mmol/l (180 mg/dl) two hours postprandial. Monitoring can be conducted using arterial or capillary blood, continuous glucose monitoring systems, or artificial intelligence-enhanced biosensors. Regardless of their diabetic status, patients present unique clinical features. Those with pre-existing diabetes may experience hypoglycemia, diabetic ketoacidosis, hyperosmolar hyperglycemic state, electrolyte imbalances, and dehydration, necessitating meticulous monitoring and intervention. Special attention must be given to glycemic variability, maintaining levels between 3.8 and 10.0 mmol/l (70-180 mg/dl), and timely interventions to prevent complications. Current treatment protocols prioritize intravenous insulin infusion based on multiple clinical studies on hyperglycemic intensive care unit (ICU) patients. To minimize complications, maintaining glucose levels between 6.1 and 10.0 mmol/l (110-180 mg/dl) is recommended, balancing the risk of hypoglycemia. Hyperglycemia negatively impacts mortality due to systemic damage and the delayed detection of glucose dysregulation. This review underscores the necessity of personalized glycemic control strategies to improve patient outcomes in ICUs.","","",""
"Unveiling Diabetes Predictions: Bridging Complexity and Clarity through Interpretable AI and SHAP Insights","https://scispace.com/paper/unveiling-diabetes-predictions-bridging-complexity-and-1m1o7tastj3a","2023","Journal Article","","Rizwan Alam
Mohammad Atif","10.1109/icdabi60145.2023.10629275","","- **Relevance Score:** 5/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses SHAP to interpret diabetes prediction models on PIMA data, highlighting interpretability and fairness; otherwise lacks multimodal coverage, surveys, or deployment discussions.","This research paper explores the realm of interpretable machine learning models for predicting diabetes, utilizing the PIMA Indian diabetes dataset (PIDD). With the increasing prevalence of diabetes, accurate prediction has gained paramount importance, and explainable AI offers a bridge between complex models and actionable insights. Various machine learning algorithms, such as decision trees, random forests, gradient boosting, and neural networks, are explored for predicting diabetes onset based on individual health attributes. To enhance model interpretability, SHapley Additive exPlanations (SHAP) values, a powerful technique, are employed to offer transparent insights into prediction rationale. Through SHAP values, the impact of individual features on model predictions is uncovered, demystifying the decision-making process. Traditional models like decision trees inherently provide interpretability, whereas complex models like neural networks benefit from SHAP values to reveal their prediction drivers. The analysis not only identifies influential features but also aids in assessing model fairness and robustness. The results highlight the delicate balance between model complexity and transparency. This study underscores the significance of interpretability in diabetes prediction models and demonstrates SHAP value’s efficacy in unraveling intricate machine learning behaviors. As healthcare relies increasingly on artificial intelligence (AI), this research contributes to informed model selection, fostering reliable and transparent medical AI applications. By shedding light on the intricate workings of predictive models, the discourse on trustworthy and effective AI deployment in critical healthcare scenarios is advanced.","","",""
